Employee_ID,Key Concerns,Question,Response Set
EMP0009,"High recent casual leave (9.02), possibly affecting work engagement.",You recently took casual leave. Did it impact your workflow or team communication?,"<s>[INST] No, I planned my work ahead, so everything was smooth. [/INST]   That's great! Do you feel that planning ahead reduces stress at work? </s>
<s>[INST] Yes, I had trouble catching up with my tasks after returning. [/INST]   I see. Would having a buffer day to settle back in help you manage post-leave workload better? </s>
<s>[INST] Not really, but I missed an important team discussion. [/INST]   Understood. Would you find it helpful if key meeting summaries were shared automatically? </s>
<s>[INST] I was sick, so it was hard to manage pending tasks after my leave. [/INST]   That makes sense. Do you think a flexible return schedule would help in such cases? </s>
<s>[INST] I haven't taken leave recently, maybe the data is incorrect. [/INST]   Thanks for pointing that out! I'll check the records. Would you like to manually log recent leaves? </s>
<s>[INST] I had to delegate some tasks, but everything went smoothly. [/INST]   That’s great! Would you like more structured delegation tools for future leaves? </s>
<s>[INST] Yes, I missed an important deadline due to my leave. [/INST]   I see. Would setting up task reminders before and after leave help you stay on track? </s>"
,"Low meeting attendance (2 meetings, below dataset average of 6).",Your meeting attendance is lower than average. Do you feel meetings are unnecessary or do you face scheduling issues?,"<s>[INST] I find most meetings unnecessary. [/INST]   Got it! Would you prefer shorter, more focused meetings with clear agendas? </s>
<s>[INST] The meeting times don’t align with my schedule. [/INST]   I see. Would a more flexible meeting scheduling system help you attend? </s>
<s>[INST] I wasn’t invited to some of the meetings. [/INST]   Thanks for sharing. Would you like to be added to key meetings automatically? </s>
<s>[INST] I had too much work and couldn’t spare time for meetings. [/INST]   That’s understandable. Would it help if meetings were recorded for later viewing? </s>
<s>[INST] I’m not sure why my attendance is low. [/INST]   No problem! Would you like an overview of your meeting participation trends? </s>
<s>[INST] I often have overlapping tasks, so I can’t always join meetings. [/INST]   That makes sense! Would rescheduling options or meeting recordings help you stay informed? </s>
<s>[INST] I think meetings could be more efficient and to the point. [/INST]   Understood! Would structured agendas or shorter meeting formats make them more valuable for you? </s>"
,"Moderate work activity (44 Teams messages, 50 emails).",Your activity levels in Teams and Emails are moderate. Do you feel you need better collaboration tools or support?,"<s>[INST] No, I feel comfortable with the current tools. [/INST]   That's great! Do you have any favorite features that improve your workflow? </s>
<s>[INST] Yes, I think we need better-integrated tools for smoother communication. [/INST]   Understood! Would you like to suggest any specific tools that could improve collaboration? </s>
<s>[INST] Sometimes, I find it hard to track conversations across multiple channels. [/INST]   That makes sense. Would a centralized notification system help you stay updated? </s>
<s>[INST] I rely more on direct calls and in-person discussions rather than Teams or Email. [/INST]   Got it! Would you like a way to log calls and in-person discussions as collaboration activities? </s>
<s>[INST] I haven't really thought about it. Maybe I just need to manage my time better. [/INST]   No worries! Would you find a time management or prioritization tool helpful? </s>
<s>[INST] I sometimes struggle to find important messages quickly. [/INST]   That makes sense! Would a better search and filtering system help you stay organized? </s>
<s>[INST] I feel like communication is fine, but more team alignment would help. [/INST]   Understood! Would regular team sync-ups or clearer project updates improve collaboration? </s>"
,"Slightly high work hours (16.28, highest in dataset) – potential overworking?",Your work hours are the highest in this group. Do you feel overworked or do you enjoy putting in extra time?,"<s>[INST] No, I feel comfortable with the current tools. [/INST]   That's great! Do you have any favorite features that improve your workflow? </s>
<s>[INST] Yes, I think we need better-integrated tools for smoother communication. [/INST]   Understood! Would you like to suggest any specific tools that could improve collaboration? </s>
<s>[INST] Sometimes, I find it hard to track conversations across multiple channels. [/INST]   That makes sense. Would a centralized notification system help you stay updated? </s>
<s>[INST] I rely more on direct calls and in-person discussions rather than Teams or Email. [/INST]   Got it! Would you like a way to log calls and in-person discussions as collaboration activities? </s>
<s>[INST] I haven't really thought about it. Maybe I just need to manage my time better. [/INST]   No worries! Would you find a time management or prioritization tool helpful? </s>
<s>[INST] I enjoy putting in extra time because I’m passionate about my work. [/INST]   That’s great! Would you be interested in setting long-term career goals to maximize your growth? </s>
<s>[INST] I feel overworked and could use better workload distribution. [/INST]   Understood! Would a task delegation system or workload balancing help ease the pressure? </s>"
,"Promotion consideration, but activity could be higher.","Since you are being considered for a promotion, what areas do you think you could improve in before stepping into a bigger role?","<s>[INST] I need to work on my leadership skills. [/INST]   That’s a great focus! Would you be interested in a leadership training program? </s>
<s>[INST] I want to improve my technical expertise before taking on more responsibilities. [/INST]   That’s a solid approach! Would a mentorship program with senior experts help? </s>
<s>[INST] I need to get better at managing multiple projects efficiently. [/INST]   Understood! Would you like access to project management training or tools? </s>
<s>[INST] I think I need more confidence when making key decisions. [/INST]   That’s important! Would role-playing decision-making scenarios help build your confidence? </s>
<s>[INST] I’m not sure if I’m ready for this promotion yet. [/INST]   That’s completely understandable. Would you like a personalized development plan to prepare you? </s>
<s>[INST] I need to improve my ability to handle high-pressure situations. [/INST]   That’s a great focus! Would stress management training or leadership coaching help you? </s>
<s>[INST] I want to sharpen my decision-making skills before taking on more responsibility. [/INST]   Understood! Would case-study exercises or mentorship from senior leaders help you develop this skill? </s>"
EMP0012,"Low engagement in all activities (Teams: 12, Emails: 11, Meetings: 7).",Your engagement in Teams and Emails is quite low. Are there any challenges preventing you from participating more?,"<s>[INST] I prefer direct calls instead of messages. [/INST]   That's a valid approach! Would you like an option to log direct calls as collaboration activity? </s>
<s>[INST] I find it hard to keep up with too many messages. [/INST]   I understand. Would a message prioritization feature help you filter important conversations? </s>
<s>[INST] I feel like my input isn’t valued in group chats. [/INST]   That’s important to address. Would you be open to discussing this with your manager? </s>
<s>[INST] I was busy with critical tasks and didn’t have time to chat. [/INST]   That makes sense. Would a dedicated ‘focus mode’ help you manage communication better? </s>
<s>[INST] I’m not sure why my engagement is low. [/INST]   No worries! Would you like to see a breakdown of your activity trends over time? </s>
<s>[INST] I usually communicate through direct messages instead of group chats. [/INST]   That makes sense! Would you find it helpful to log private conversations as engagement? </s>
<s>[INST] I prefer working independently and only join discussions when necessary. [/INST]   Understood! Would structured check-ins help you stay connected while maintaining your workflow? </s>"
,"Moderate casual leave (8.51), could be affecting work.",You recently took casual leave. Did it affect your ability to stay on top of tasks?,"<s>[INST] No, I planned my work ahead, so I didn’t fall behind. [/INST]   That's great! Do you feel planning ahead helps reduce post-leave stress? </s>
<s>[INST] Yes, I struggled to catch up after returning. [/INST]   I see. Would having a transition day with fewer tasks help you adjust better? </s>
<s>[INST] Not really, but I had to work extra hours to compensate. [/INST]   Understood. Would you prefer a workload redistribution system for smoother transitions? </s>
<s>[INST] I missed some important updates, so I had to ask colleagues to fill me in. [/INST]   That makes sense. Would an automated summary of key updates help you catch up faster? </s>
<s>[INST] I haven't taken leave recently, maybe there's a mistake in the records. [/INST]   Thanks for pointing that out! Would you like me to check and update your leave records? </s>
<s>[INST] I had to rush some tasks before my leave, but overall, it was manageable. [/INST]   That’s good to hear! Would a workload planning tool help you better prepare for future leaves? </s>
<s>[INST] Yes, I fell behind and had to work extra hours to catch up. [/INST]   I see. Would a post-leave adjustment period help you transition back smoothly? </s>"
,Needs improvement in performance rating.,Your performance rating suggests there’s room for improvement. Do you feel supported in your role?,"<s>[INST] Yes, my manager provides helpful guidance. [/INST]   That’s great! Would you like to set specific goals to track your progress? </s>
<s>[INST] Somewhat, but I think I need more structured feedback. [/INST]   Understood. Would regular performance check-ins help you improve? </s>
<s>[INST] Not really, I feel like I’m struggling without enough support. [/INST]   I see. Would you benefit from mentorship or additional training? </s>
<s>[INST] I feel overwhelmed with my workload, which affects my performance. [/INST]   That’s important to address. Would workload balancing help you perform better? </s>
<s>[INST] I’m not sure, I don’t know what’s expected of me. [/INST]   Got it. Would a clear roadmap of expectations and goals be useful? </s>
<s>[INST] I receive some support, but I think more targeted coaching would help. [/INST]   That’s a great point! Would personalized coaching sessions with a mentor be beneficial for you? </s>
<s>[INST] I feel like I need clearer expectations to improve my performance. [/INST]   Understood! Would structured goal-setting and feedback sessions help provide more clarity? </s>"
,"Decayed Reward Points (57.14) are below average, indicating lower contributions.",Would additional training or mentorship help you improve your contributions?,"<s>[INST] Yes, I think mentorship would help me grow in my role. [/INST]   That’s great! Would you prefer a peer mentor or guidance from a senior leader? </s>
<s>[INST] Training would be helpful, especially in technical skills. [/INST]   Understood! Would you be interested in online courses or hands-on workshops? </s>
<s>[INST] I’m not sure, I think I just need more experience. [/INST]   That makes sense. Would a structured learning path help accelerate your growth? </s>
<s>[INST] No, I feel I already have the skills I need. [/INST]   That’s good to hear! Would you be open to sharing your expertise by mentoring others? </s>
<s>[INST] Maybe, but I don’t have enough time for extra training. [/INST]   I see. Would a flexible learning plan that fits into your schedule be more practical? </s>
<s>[INST] I think mentorship would help me navigate challenges more effectively. [/INST]   That’s a great idea! Would you prefer a peer mentor or guidance from a senior leader? </s>
<s>[INST] Training would be useful, but I need something flexible to fit my schedule. [/INST]   Understood! Would self-paced online courses or short workshops be a better fit for you? </s>"
,Being considered for promotion despite performance concerns.,"You are being considered for a promotion. Do you feel ready, or do you think you need more support?","<s>[INST] Yes, I feel confident and ready for the next step. [/INST]   That’s great! Would you like to discuss your goals and expectations for the new role? </s>
<s>[INST] I think I’m ready, but I could use some leadership training. [/INST]   Understood! Would you be interested in a leadership development program? </s>
<s>[INST] I’m excited, but I still need guidance in certain areas. [/INST]   That makes sense! Would mentorship from a senior leader help you feel more prepared? </s>
<s>[INST] I don’t feel fully ready yet, I need more experience. [/INST]   No problem! Would a structured career growth plan help you gain the necessary experience? </s>
<s>[INST] I’m not sure if this promotion is the right fit for me. [/INST]   I see. Would a career development discussion help clarify your options? </s>
<s>[INST] I feel ready, but I’d like to refine my leadership skills first. [/INST]   That’s a great approach! Would leadership training or mentorship from a senior leader help? </s>
<s>[INST] I’m excited about the opportunity, but I need more experience handling complex projects. [/INST]   Understood! Would hands-on project assignments help you gain the necessary experience? </s>"
