Employee_ID,Problems,Other Problems,Anamaly_Score,Average Work Hours,Reward Factor,Performance Rating,Vibe Factor
EMP0108,"[[""Decayed Vibe Score"", 0.7812037995430506], [""Median Daily Teams Messages"", 0.6602059398009006], [""Average Daily Teams Messages"", 0.6375448509380217], [""Average Meetings Attended per Day"", 0.5487004584368703], [""Median Meetings Attended per Day"", 0.518322920701928]]","[[""Encoded Onboarding Feedback"", 0.4974233131578194], [""Average Work Hours per Day"", 0.40249823603864426], [""Median Work Hours per Day"", 0.3996166335348796], [""Encoded Manager Feedback"", 0.22746724864616397], [""Average Daily Emails Sent"", 0.12626168314094458], [""Median Daily Emails Sent"", 0.11442161511571998], [""Annual Leave Impact Factor"", 0.05358204465666807], [""Total Meetings Attended"", 0.04256723730085055]]",-0.058869488866436726,9.58,8.193500982348302,4.0,7.4538620693481406
EMP0056,"[[""Onboarding Experience Score"", 1.088697497021513], [""Average Daily Teams Messages"", 0.506755224331834], [""Median Daily Teams Messages"", 0.47561055901943267], [""Encoded Onboarding Feedback"", 0.40149712298434986], [""Median Work Hours per Day"", 0.32727472491185566]]","[[""Tenure (Days Since Joining)"", 0.30712626663269976], [""Median Meetings Attended per Day"", 0.2844319383314437], [""Average Meetings Attended per Day"", 0.2835720882114374], [""Encoded Manager Feedback"", 0.24152259310771304], [""Average Work Hours per Day"", 0.23812592340153926], [""Total Decayed Reward Points"", 0.16166146355988045], [""Annual Leave Impact Factor"", 0.14068313796063478], [""Median Daily Emails Sent"", 0.09927923229098323], [""Average Daily Emails Sent"", 0.09530106189990006], [""Decayed Vibe Score"", 0.02255223650348329]]",-0.05071996627347486,5.06,131.29581358671908,4.0,0.5222612442403727
EMP0384,"[[""Total Meetings Attended"", 0.636917801266286], [""Median Work Hours per Day"", 0.599680226331812], [""Average Work Hours per Day"", 0.5863995027767069], [""Median Daily Teams Messages"", 0.5539021975604459], [""Average Daily Teams Messages"", 0.5236854185406777]]","[[""Decayed Vibe Score"", 0.4606772562497776], [""Average Meetings Attended per Day"", 0.4504971902089458], [""Annual Leave Impact Factor"", 0.4247082657008302], [""Median Meetings Attended per Day"", 0.3831189225106031], [""Encoded Manager Feedback"", 0.2473330159076297], [""Sick Leave Impact Factor"", 0.027214737844496496]]",-0.04402472931399082,4.08,70.20001190878253,4.0,5.5110737064087445
EMP0205,"[[""Onboarding Experience Score"", 1.8725818949953101], [""Tenure (Days Since Joining)"", 0.6000021048840399], [""Average Daily Emails Sent"", 0.511333044464514], [""Median Daily Emails Sent"", 0.466810519289654], [""Encoded Onboarding Feedback"", 0.40029333326496147]]","[[""Median Work Hours per Day"", 0.2531864791835851], [""Average Daily Teams Messages"", 0.252381182669528], [""Median Daily Teams Messages"", 0.22596481055037143], [""Total Decayed Reward Points"", 0.20559922734161284], [""Average Work Hours per Day"", 0.1486633903889432]]",-0.0400017440522632,5.35,143.97151990542972,,
EMP0418,"[[""Average Meetings Attended per Day"", 0.5087809482304977], [""Average Daily Teams Messages"", 0.4839604025384985], [""Onboarding Experience Score"", 0.47530265163720253], [""Median Meetings Attended per Day"", 0.44537686031358664], [""Annual Leave Impact Factor"", 0.4338291131652195]]","[[""Encoded Onboarding Feedback"", 0.39891596809891317], [""Median Daily Teams Messages"", 0.3884879969041405], [""Encoded Manager Feedback"", 0.2631332326012514], [""Total Meetings Attended"", 0.20990559282293897], [""Average Daily Emails Sent"", 0.20431828324341997], [""Average Work Hours per Day"", 0.18034415659304784], [""Median Daily Emails Sent"", 0.15686887744871322], [""Tenure (Days Since Joining)"", 0.11139668081179861], [""Median Work Hours per Day"", 0.1111552598283309]]",-0.039186994092380134,8.76,72.34605448476265,1.0,0.5413411329464508
EMP0371,"[[""Unpaid Leave Impact Factor"", 1.6375986103193754], [""Average Daily Teams Messages"", 0.6498721942243634], [""Median Daily Teams Messages"", 0.6320493975126581], [""Median Daily Emails Sent"", 0.5682960001364951], [""Median Work Hours per Day"", 0.5682832132126197]]","[[""Average Daily Emails Sent"", 0.5414220612916846], [""Average Work Hours per Day"", 0.4607065375761206], [""Total Decayed Reward Points"", 0.08545074985190947]]",-0.03855238640917724,4.28,116.16749450154616,,
EMP0194,"[[""Total Decayed Reward Points"", 1.0148425712905744], [""Annual Leave Impact Factor"", 0.9089432565304824], [""Median Daily Teams Messages"", 0.7327171965466909], [""Average Daily Teams Messages"", 0.686913158728419], [""Encoded Onboarding Feedback"", 0.4594509022615731]]","[[""Average Meetings Attended per Day"", 0.30462313570763705], [""Median Work Hours per Day"", 0.2892046212202473], [""Median Meetings Attended per Day"", 0.26314742562388704], [""Average Work Hours per Day"", 0.26294293453178597]]",-0.036565581158581995,5.01,343.6306372958011,3.0,2.4257872946849828
EMP0142,"[[""Sick Leave Impact Factor"", 1.9026928930226572], [""Median Daily Emails Sent"", 0.5252431085704714], [""Encoded Onboarding Feedback"", 0.4764208103269473], [""Work Hours Variability (Std Dev)"", 0.41039559959639443], [""Median Meetings Attended per Day"", 0.3123733529575467]]","[[""Median Daily Teams Messages"", 0.29586079653299785], [""Encoded Manager Feedback"", 0.2807999510384159], [""Tenure (Days Since Joining)"", 0.1240729800578801], [""Average Meetings Attended per Day"", 0.05253666146791414], [""Average Daily Teams Messages"", 0.051474401060600514], [""Average Daily Emails Sent"", 0.011216537186808428]]",-0.033204414135511784,7.393333333333333,3.188832116320473,2.0,
EMP0044,"[[""Sick Leave Impact Factor"", 1.3454848354361657], [""Average Daily Teams Messages"", 0.612946737510257], [""Median Daily Emails Sent"", 0.5679711895623575], [""Average Daily Emails Sent"", 0.5468743812914723], [""Median Daily Teams Messages"", 0.5346697169622001]]","[[""Average Meetings Attended per Day"", 0.501024785387293], [""Median Meetings Attended per Day"", 0.44013379251938195], [""Decayed Vibe Score"", 0.2831496594606268], [""Total Meetings Attended"", 0.20369887899466282]]",-0.0312857417727892,7.46,,,4.4522359185810405
EMP0479,"[[""Casual Leave Impact Factor"", 0.8275612278485867], [""Total Decayed Reward Points"", 0.6545260806627142], [""Average Meetings Attended per Day"", 0.5280736526663248], [""Encoded Onboarding Feedback"", 0.5024048507769333], [""Median Meetings Attended per Day"", 0.44376223751548527]]","[[""Median Work Hours per Day"", 0.32898494817590673], [""Average Work Hours per Day"", 0.2627111534645956], [""Total Meetings Attended"", 0.23736756013642835], [""Encoded Manager Feedback"", 0.21550459624442111], [""Average Daily Teams Messages"", 0.08122700040138085], [""Average Daily Emails Sent"", 0.044979616240516225], [""Median Daily Teams Messages"", 0.04380834115275115], [""Median Daily Emails Sent"", 0.014900943879443575]]",-0.029558048365205702,5.04,249.36103195809744,1.0,0.850813170510806
